,signals,site,timestamp,data_name
SITE_SM_solarInstPower,4213.501134294745,d0926969,2022-03-03 21:06:09+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-3561.5,7435e9d3,2022-03-03 21:06:09+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,4.812503740936742,7435e9d3,2022-03-03 21:06:09+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3897.116979980469,7435e9d3,2022-03-03 21:06:09+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-3110.666666666667,134a3fa6,2022-03-03 21:06:56+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,560.5106689453116,134a3fa6,2022-03-03 21:06:56+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3134.0359944661463,134a3fa6,2022-03-03 21:06:56+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-11.333333333334394,8d9fed87,2022-03-03 21:06:56+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-2324.999999999997,8d9fed87,2022-03-03 21:06:56+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,4442.133333333333,8d9fed87,2022-03-03 21:06:56+00:00,SITE_SM_solarInstPower
SYNC_GridState,,8d9fed87,2022-03-03 21:06:56+00:00,SYNC_GridState
SITE_SM_batteryInstPower,0.0,5688ed10,2022-03-03 21:06:56+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-2576.89606933594,5688ed10,2022-03-03 21:06:56+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,2932.7220052083358,5688ed10,2022-03-03 21:06:56+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.0,07333ad0,2022-03-03 21:06:56+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-134.47999165851581,07333ad0,2022-03-03 21:06:56+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,916.3753377278517,07333ad0,2022-03-03 21:06:56+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,10.0,38c8ae33,2022-03-03 21:06:56+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5574.695231119791,38c8ae33,2022-03-03 21:06:56+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6363.637972005208,38c8ae33,2022-03-03 21:06:56+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,9.333333333332803,adc42b19,2022-03-03 21:06:56+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3385.476611328124,adc42b19,2022-03-03 21:06:56+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,5498.724781161487,adc42b19,2022-03-03 21:06:56+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-10.0,e9ba8cec,2022-03-03 21:06:56+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5979.495979817701,e9ba8cec,2022-03-03 21:06:56+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6782.013964843748,e9ba8cec,2022-03-03 21:06:56+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-10.0,e12c2148,2022-03-03 21:06:56+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,,e12c2148,2022-03-03 21:06:56+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,,e12c2148,2022-03-03 21:06:56+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,68.50000000001046,4b78aae6,2022-03-03 21:06:57+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-2.899009704590044,4b78aae6,2022-03-03 21:06:57+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,728.0953225392019,4b78aae6,2022-03-03 21:06:57+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-0.49999999999954503,e724ca65,2022-03-03 21:06:57+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3057.091540527344,e724ca65,2022-03-03 21:06:57+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3971.594012451172,e724ca65,2022-03-03 21:06:57+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.0,135433c1,2022-03-03 21:06:57+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,619.7225051879866,135433c1,2022-03-03 21:06:57+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,80.59299869537544,135433c1,2022-03-03 21:06:57+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-0.49999999999954503,02ebf5c7,2022-03-03 21:06:57+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5135.3581420898445,02ebf5c7,2022-03-03 21:06:57+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,5626.548053108837,02ebf5c7,2022-03-03 21:06:57+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-10.0,c8eb2d3d,2022-03-03 21:06:57+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-61.66447906493765,c8eb2d3d,2022-03-03 21:06:57+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,10767.367163085933,c8eb2d3d,2022-03-03 21:06:57+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-109.50000000000045,2b98cbdd,2022-03-03 21:06:57+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,,2b98cbdd,2022-03-03 21:06:57+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,,2b98cbdd,2022-03-03 21:06:57+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-2080.4999999999995,55af2f9b,2022-03-03 21:06:57+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-14.326002502442218,55af2f9b,2022-03-03 21:06:57+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,8087.852465820312,55af2f9b,2022-03-03 21:06:57+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.49999999999954503,e6bcf7cf,2022-03-03 21:06:57+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-6006.863830566405,e6bcf7cf,2022-03-03 21:06:57+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,7159.457958472489,e6bcf7cf,2022-03-03 21:06:57+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-9.66666666666697,7da0acb7,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-4308.895719401042,7da0acb7,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,4916.975537109375,7da0acb7,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.33333333333303,c18b6195,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-49.570332463580435,c18b6195,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,244.39499994913552,c18b6195,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-3630.333333333315,20abb173,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-41.38933308919395,20abb173,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,5093.332096354139,20abb173,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.0,f34b386a,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,1350.9962941487695,f34b386a,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6045.927791341143,f34b386a,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-2634.3333333333567,f7f9ac09,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,16.798014068604054,f7f9ac09,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3341.1653808593746,f7f9ac09,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.33333333333303,5fc96249,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-7010.1076822916675,5fc96249,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,7576.074055989584,5fc96249,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-2650.999999999999,82c74b9e,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,5.421665891011218,82c74b9e,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3240.577335611979,82c74b9e,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-170.0,b255f7ad,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,2231.321004231771,b255f7ad,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,178.51666920979832,b255f7ad,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,479.33333333333394,61bff705,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,1.160000005364409,61bff705,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,-218.3138703981613,61bff705,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,19.33333333333394,619fd2b9,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,,619fd2b9,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,,619fd2b9,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-250.0,260f359a,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,6.8769996325167995,260f359a,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,688.2506856282555,260f359a,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-3931.333333333332,4faff963,2022-03-03 21:06:58+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-13.571337890625053,4faff963,2022-03-03 21:06:58+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,4586.528694661459,4faff963,2022-03-03 21:06:58+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,593.6666666666633,499a251d,2022-03-03 21:06:59+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,,499a251d,2022-03-03 21:06:59+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,,499a251d,2022-03-03 21:06:59+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,10.0,dfc6fdf5,2022-03-03 21:06:59+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5130.8138427734375,dfc6fdf5,2022-03-03 21:06:59+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,5472.910697428386,dfc6fdf5,2022-03-03 21:06:59+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-0.166666666666515,64e1616f,2022-03-03 21:06:59+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-33.45585021972826,64e1616f,2022-03-03 21:06:59+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,710.8758310953796,64e1616f,2022-03-03 21:06:59+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-19.500000000000455,93c8a2c1,2022-03-03 21:06:59+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-660.8136896769187,93c8a2c1,2022-03-03 21:06:59+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,1204.9911815767223,93c8a2c1,2022-03-03 21:06:59+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.166666666666515,eec02ec5,2022-03-03 21:06:59+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5056.761909993489,eec02ec5,2022-03-03 21:06:59+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6160.549271647135,eec02ec5,2022-03-03 21:06:59+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.166666666666515,49b6c0dd,2022-03-03 21:06:59+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3579.8,49b6c0dd,2022-03-03 21:06:59+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,-4945.5666666666675,49b6c0dd,2022-03-03 21:06:59+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,,d0926969,2022-03-03 21:06:59+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3947.5550191243487,d0926969,2022-03-03 21:06:59+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,4212.377749404486,d0926969,2022-03-03 21:06:59+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-3569.833333333334,7435e9d3,2022-03-03 21:06:59+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3.395830866446246,7435e9d3,2022-03-03 21:06:59+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3892.4337524414063,7435e9d3,2022-03-03 21:06:59+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-3102.3333333333335,134a3fa6,2022-03-03 21:07:46+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,541.1769846598311,134a3fa6,2022-03-03 21:07:46+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3151.866967773437,134a3fa6,2022-03-03 21:07:46+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-10.0,8d9fed87,2022-03-03 21:07:46+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-2342.7999999999997,8d9fed87,2022-03-03 21:07:46+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,4425.133333333333,8d9fed87,2022-03-03 21:07:46+00:00,SITE_SM_solarInstPower
SYNC_GridState,,8d9fed87,2022-03-03 21:07:46+00:00,SYNC_GridState
SITE_SM_batteryInstPower,0.0,5688ed10,2022-03-03 21:07:46+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-2549.1713541666672,5688ed10,2022-03-03 21:07:46+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,2904.3833618164067,5688ed10,2022-03-03 21:07:46+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.0,07333ad0,2022-03-03 21:07:46+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-45.720011901857546,07333ad0,2022-03-03 21:07:46+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,829.539326985679,07333ad0,2022-03-03 21:07:46+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-5.33333333333303,38c8ae33,2022-03-03 21:07:46+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5575.638338216146,38c8ae33,2022-03-03 21:07:46+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6360.87392578125,38c8ae33,2022-03-03 21:07:46+00:00,SITE_SM_solarInstPower
